x,NH3,C7H16,O2,N2,p,T
0,1.67982e-322,1,0,0,6.10255e+06,363
2e-05,0,1,0,0,6.10255e+06,363
4e-05,1.63042e-322,1,1.4822e-322,2.22045e-16,6.10255e+06,363
6e-05,1.58101e-322,1,1.33398e-322,4.44089e-16,6.10255e+06,363
8e-05,3.45846e-323,1,0,2.22045e-16,6.10255e+06,363
0.0001,0,1,1.72923e-322,3.33067e-16,6.10255e+06,363
0.00012,0,1,0,3.33067e-16,6.10255e+06,363
0.00014,0,1,0,3.33067e-16,6.10255e+06,363
0.00016,0,1,1.58101e-322,0,6.10255e+06,363
0.00018,0,1,0,0,6.10255e+06,363
0.0002,1.97626e-323,1,0,1.11022e-16,6.10255e+06,363
0.00022,2.47033e-323,1,0,2.22045e-16,6.10255e+06,363
0.00024,0,1,1.5316e-322,2.22045e-16,6.10255e+06,363
0.00026,1.38338e-322,1,0,1.11022e-16,6.10255e+06,363
0.00028,3.95253e-323,1,1.33398e-322,0,6.10255e+06,363
0.0003,1.28457e-322,1,0,0,6.10255e+06,363
0.00032,1.43279e-322,1,0,1.11022e-16,6.10255e+06,363
0.00034,2.47033e-323,1,0,1.11022e-16,6.10255e+06,363
0.00036,1.33398e-322,1,0,4.44089e-16,6.10255e+06,363
0.00038,1.97626e-323,1,0,5.55112e-16,6.10255e+06,363
0.0004,1.67982e-322,1,0,3.33067e-16,6.10255e+06,363
0.00042,0,1,1.23516e-322,2.22045e-16,6.10255e+06,363
0.00044,0,1,0,2.22045e-16,6.10255e+06,363
0.00046,0,1,1.43279e-322,0,6.10255e+06,363
0.00048,0,1,1.58101e-322,2.22045e-16,6.10255e+06,363
0.0005,0,1,0,0,6.10255e+06,363
0.00052,1.38338e-322,1,0,3.33067e-16,6.10255e+06,363
0.00054,0,1,0,3.33067e-16,6.10255e+06,363
0.00056,1.38338e-322,1,1.38338e-322,2.22045e-16,6.10255e+06,363
0.00058,0,1,0,0,6.10255e+06,363
0.0006,0,1,1.33398e-322,2.22045e-16,6.10255e+06,363
0.00062,0,1,3.70549e-322,3.33067e-16,6.10255e+06,363
0.00064,0,1,6.42285e-322,1.11022e-16,6.10255e+06,363
0.00066,0,1,3.31024e-322,1.11022e-16,6.10255e+06,363
0.00068,1.58101e-322,1,6.62048e-322,1.11022e-16,6.10255e+06,363
0.0007,2.47033e-323,1,3.50787e-322,2.22045e-16,6.10255e+06,363
0.00072,0,1,6.66989e-322,5.55112e-16,6.10255e+06,363
0.00074,0,1,4.5454e-322,8.88178e-16,6.10255e+06,363
0.00076,0,1,6.52167e-322,9.99201e-16,6.10255e+06,363
0.00078,0,1,8.54734e-322,1.22125e-15,6.10255e+06,363
0.0008,0,1,1.16599e-321,1.11022e-15,6.10255e+06,363
0.00082,0,1,1.15117e-321,7.77156e-16,6.10255e+06,363
0.00084,0,1,1.13141e-321,3.33067e-16,6.10255e+06,363
0.00086,0,1,1.35868e-321,3.33067e-16,6.10255e+06,363
0.00088,2.47033e-323,1,1.13141e-321,1.11022e-16,6.10255e+06,363
0.0009,0,1,1.36856e-321,2.22045e-16,6.10255e+06,363
0.00092,0,1,1.99603e-321,1.11022e-16,6.10255e+06,363
0.00094,0,1,2.50491e-321,1.11022e-16,6.10255e+06,363
0.00096,0,1,2.54444e-321,2.22045e-16,6.10255e+06,363
0.00098,0,1,2.49009e-321,2.22045e-16,6.10255e+06,363
0.001,0,1,2.50985e-321,0,6.10255e+06,363
0.00102,0,1,2.55926e-321,2.22045e-16,6.10255e+06,363
0.00104,0,1,2.53456e-321,2.22045e-16,6.10255e+06,363
0.00106,0,1,2.56914e-321,8.88178e-16,6.10255e+06,363
0.00108,9.88131e-324,1,2.65313e-321,8.88178e-16,6.10255e+06,363
0.0011,1.23516e-322,1,2.66301e-321,8.88178e-16,6.10255e+06,363
0.00112,1.28457e-322,1,3.07309e-321,3.33067e-16,6.10255e+06,363
0.00114,0,1,3.16696e-321,1.11022e-16,6.10255e+06,363
0.00116,1.63042e-322,1,3.16696e-321,0,6.10255e+06,363
0.00118,0,1,3.19166e-321,6.66134e-16,6.10255e+06,363
0.0012,0,1,3.23613e-321,8.88178e-16,6.10255e+06,363
0.00122,1.38338e-322,1,3.13732e-321,9.99201e-16,6.10255e+06,363
0.00124,0,1,3.24601e-321,1.11022e-15,6.10255e+06,363
0.00126,0,1,3.17684e-321,8.88178e-16,6.10255e+06,363
0.00128,1.5316e-322,1,3.13732e-321,5.55112e-16,6.10255e+06,363
0.0013,0,1,3.24107e-321,5.55112e-16,6.10255e+06,363
0.00132,0,1,3.11261e-321,8.88178e-16,6.10255e+06,363
0.00134,0,1,3.21143e-321,2.22045e-16,6.10255e+06,363
0.00136,0,1,3.11755e-321,5.55112e-16,6.10255e+06,363
0.00138,0,1,3.23119e-321,7.77156e-16,6.10255e+06,363
0.0014,0,1,3.32506e-321,7.77156e-16,6.10255e+06,363
0.00142,0,1,3.10767e-321,7.77156e-16,6.10255e+06,363
0.00144,0,1,3.1966e-321,3.33067e-16,6.10255e+06,363
0.00146,0,1,3.17684e-321,2.22045e-16,6.10255e+06,363
0.00148,1.4822e-322,1,3.21637e-321,9.99201e-16,6.10255e+06,363
0.0015,1.63042e-322,1,3.19166e-321,3.33067e-16,6.10255e+06,363
0.00152,1.4822e-322,1,3.21143e-321,3.33067e-16,6.10255e+06,363
0.00154,0,1,3.34977e-321,5.55112e-16,6.10255e+06,363
0.00156,0,1,3.22625e-321,9.99201e-16,6.10255e+06,363
0.00158,0,1,3.25095e-321,8.88178e-16,6.10255e+06,363
0.0016,1.17094e-321,1,4.04146e-321,6.66134e-16,6.10255e+06,363
0.00162,1.37103e-320,1,3.94264e-321,4.44089e-16,6.10255e+06,363
0.00164,4.37604e-319,1,6.32898e-321,1.11022e-16,6.10255e+06,363
0.00166,1.52877e-317,1,8.11256e-320,1.11022e-16,6.10255e+06,363
0.00168,5.33932e-316,1,2.7731e-318,1.11022e-16,6.10255e+06,363
0.0017,1.85531e-314,1,9.88374e-317,3.33067e-16,6.10255e+06,363
0.00172,6.41283e-313,1,3.50881e-315,0,6.10255e+06,363
0.00174,2.20485e-311,1,1.2391e-313,2.22045e-16,6.10255e+06,363
0.00176,7.54047e-310,1,4.35247e-312,0,6.10255e+06,363
0.00178,2.56508e-308,1,1.5207e-310,2.22045e-16,6.10255e+06,363
0.0018,8.67922e-307,1,5.28475e-309,5.55112e-16,6.10255e+06,363
0.00182,2.921e-305,1,1.82671e-307,7.77156e-16,6.10255e+06,363
0.00184,9.77793e-304,1,6.28022e-306,8.88178e-16,6.10255e+06,363
0.00186,3.25552e-302,1,2.1475e-304,5.55112e-16,6.10255e+06,363
0.00188,1.07807e-300,1,7.3036e-303,4.44089e-16,6.10255e+06,363
0.0019,3.55074e-299,1,2.47048e-301,1.55431e-15,6.10255e+06,363
0.00192,1.16314e-297,1,8.31113e-300,1.33227e-15,6.10255e+06,363
0.00194,3.78944e-296,1,2.78077e-298,9.99201e-16,6.10255e+06,363
0.00196,1.22785e-294,1,9.2532e-297,5.55112e-16,6.10255e+06,363
0.00198,3.95674e-293,1,3.06219e-295,9.99201e-16,6.10255e+06,363
0.002,1.26807e-291,1,1.00782e-293,3.33067e-16,6.10255e+06,363
0.00202,4.04161e-290,1,3.29861e-292,0,6.10255e+06,363
0.00204,1.28105e-288,1,1.07368e-290,1.11022e-16,6.10255e+06,363
0.00206,7.19733e-288,1,6.11283e-290,1.11022e-16,6.10255e+06,363
0.00208,1.2658e-285,1,1.11872e-287,3.33067e-16,6.10255e+06,363
0.0021,3.94585e-284,1,3.58102e-286,2.22045e-16,6.10255e+06,363
0.00212,1.22317e-282,1,1.13989e-284,5.55112e-16,6.10255e+06,363
0.00214,3.77053e-281,1,3.60809e-283,7.77156e-16,6.10255e+06,363
0.00216,1.15579e-279,1,1.13566e-281,9.99201e-16,6.10255e+06,363
0.00218,3.52294e-278,1,3.55438e-280,8.88178e-16,6.10255e+06,363
0.0022,1.06777e-276,1,1.10617e-278,9.99201e-16,6.10255e+06,363
0.00222,3.21805e-275,1,3.42303e-277,9.99201e-16,6.10255e+06,363
0.00224,9.6436e-274,1,1.05324e-275,4.44089e-16,6.10255e+06,363
0.00226,2.8735e-272,1,3.22227e-274,7.77156e-16,6.10255e+06,363
0.00228,8.51335e-271,1,9.80188e-273,1.55431e-15,6.10255e+06,363
0.0023,2.50785e-269,1,2.96457e-271,8.88178e-16,6.10255e+06,363
0.00232,7.34526e-268,1,8.91478e-270,4.44089e-16,6.10255e+06,363
0.00234,2.13899e-266,1,2.66532e-268,8.88178e-16,6.10255e+06,363
0.00236,6.19301e-265,1,7.9227e-267,3.33067e-16,6.10255e+06,363
0.00238,1.78269e-263,1,2.34138e-265,2.22045e-16,6.10255e+06,363
0.0024,5.10183e-262,1,6.87921e-264,8.88178e-16,6.10255e+06,363
0.00242,1.45159e-260,1,2.0094e-262,9.99201e-16,6.10255e+06,363
0.00244,4.10602e-259,1,5.8351e-261,8.88178e-16,6.10255e+06,363
0.00246,1.15465e-257,1,1.68452e-259,6.66134e-16,6.10255e+06,363
0.00248,3.22796e-256,1,4.8344e-258,2.22045e-16,6.10255e+06,363
0.0025,8.97103e-255,1,1.37924e-256,4.44089e-16,6.10255e+06,363
0.00252,2.47849e-253,1,3.91165e-255,4.44089e-16,6.10255e+06,363
0.00254,6.80698e-252,1,1.1028e-253,5.55112e-16,6.10255e+06,363
0.00256,1.85839e-250,1,3.09059e-252,7.77156e-16,6.10255e+06,363
0.00258,5.04344e-249,1,8.60965e-251,3.33067e-16,6.10255e+06,363
0.0026,1.36055e-247,1,2.38409e-249,3.33067e-16,6.10255e+06,363
0.00262,3.64835e-246,1,6.56211e-248,6.66134e-16,6.10255e+06,363
